SecID;PerformanceID;FundId;Company;DomicileId;CompanyName;FundName;SecurityName;LegalStructure;ShareClassLegalName;UCITS;MorningstarCategoryId;InceptionDate;Status;ObsoleteDate;IsBaseCurrency;IsPrimaryShareClass;IsOldestClass;CurrencyId;IncomeDistribution;AccumulatedDistribution;InsuranceFund;HedgeFund;FundOfFunds;ExchangeTradedShare;CUSIP;ISIN;CurrencySpecificISIN;SEDOL;Ticker;GermanWKN;AustrianWKN;Valoren;MEX;OsloBors;FundSERV;APIR;ITAJ;FocusId;PricingFrequency;PricingDelay;ReportsOnFridays;ReportsOnSundays;FR_PEA;FR_AMF;IT_CategoriaAssogestioni;UK_IMASector;UK_AICSector;ES_CategoriaInverco;BE_CBF;DK_IFR;ES_INP;FR_FIP;HK_IFA;HK_MPF;HK_SCH;IL_ISA;UK_LIF/ABI Life;UK_PEN/ABI Pension;ZA_ASISA;AvailableForPensionPlan;GIFSCode;SuspendedPricing;ExchangeId;InstitutionalOnly;PenceTraded;DataReadiness;DataReadinessChangeDate;SociallyConscious;AMFI;KRCodeClass;KRCodeFund;MasterPortfolioId;PortfolioDate;LegalStructureId;SITCACode;SITCACategoryId;CICCode;GlobalCategoryId;MoneyMarketFund;AvailableForRetirementPlan;AvailableForInsuranceProduct;ShareClassTypeId;ShareClassType;RestrictedScheme;BroadAssetClass;CSDCCCode;MorningstarCategoryId_Fund;FR_PEA_PME;SpanishESP;IndexingApproach;SyntheticType;UKReportingFund;UKStatusStartDate;GermanTaxTransparence;AUTTaxTransparence;TrackRecordExtension;TrackRecordInheritedFrom;TrackRecordExtensionType
F00000VYLG;0P000168LB;FSUSA0B7LG;0C00001KG6;FRA;AG2R La Mondiale Gestion dActifs;ALM Patrimoine;ALM Patrimoine RA;FCP;ALM Patrimoine RA;0;EUCA000739;42159;Active;;1;0;;EUR;0;1;0;0;1;0;;FR0012739407;FR0012739407;;;;;;;;;;;;D$;3;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$291;;;;;;;0;;;;768775;43312;23;;;44;$GC$FALLOC;0;0;0;;;0;Allocation;;EUCA000739;0;0;5;;;;0;0;;;
F00000W3YB;0P00016FUA;FS0000C0GP;0C0000AQLK;FRA;Kirao;Kirao Ristretto;Kirao Ristretto AC;FCP;Kirao Ristretto AC;0;EUCA000637;42174;Active;;1;0;1;EUR;0;1;0;0;0;0;;FR0012739449;FR0012739449;;;;;;;;;;;;W$;2;;;1;LC00000036;;;;;;;;;;;;;;;;0;GIFS$$$663;;;;;;;0;;;;;;23;;;41;$GC$EUEQMS;0;0;0;;;0;Equity;;EUCA000637;0;0;5;;;;0;0;;;
F00000W3YG;0P00016FUF;FS0000C0GS;0C0000AQLK;FRA;Kirao;Kirao Smallcaps;Kirao Smallcaps AC;FCP;Kirao Smallcaps AC;1;EUCA000637;42109;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012633311;FR0012633311;;;;;;;;;;;;D$;3;;;1;LC00000036;;;;;;;;;;;;;;;;0;GIFS$$$663;;;;;;;0;;;;1108235;43281;23;;;41;$GC$EUEQMS;0;0;0;;;0;Equity;;EUCA000637;0;0;5;;;;0;0;;;
F00000W3YH;0P00016FUG;FS0000C0GS;0C0000AQLK;FRA;Kirao;Kirao Smallcaps;Kirao Smallcaps IC;FCP;Kirao Smallcaps IC;1;EUCA000637;42109;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012646131;FR0012646131;;;;;;;;;;;;D$;3;;;1;LC00000036;;;;;;;;;;;;;;;;0;GIFS$$$663;;;;;;;0;;;;1108235;43281;23;;;41;$GC$EUEQMS;0;0;0;;;0;Equity;;EUCA000637;0;0;5;;;;0;0;;;
F00001001B;0P0001CJZ9;FS0000DMB9;0C0000AR3P;FRA;Longchamp Asset Management;Longchamp Magellan Balanced Fund;Longchamp Magellan Balanced Fund A;FCP;Longchamp Magellan Balanced Fund A;1;EUCA000812;43084;Active;;1;0;1;EUR;0;1;0;0;0;0;;FR0013277894;FR0013277894;;;;;;;;;;;;W$;3;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$992;;;;;;;0;;;;;;23;;;46;$GC$MULALT;0;0;0;;;0;Alternative;;EUCA000812;0;0;5;;;;0;0;;;
F00001001E;0P0001CJZD;FSGBR0507A;0C000068ZH;FRA;Amundi Asset Management;Amundi  M;Amundi  M R;FCP;Amundi  M R;1;EUCA000591;43035;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0013289386;FR0013289386;;;;;;;;;;;;D$;0;;;0;LC00002067;LC00000031;;;;;;;;;;;;;;;0;GIFS$$$245;;;;;;;0;;;;276680;43373;23;;;43;$GC$EUROMM;0;0;0;;;0;Money Market;;EUCA000591;0;0;5;;;;0;0;;;
F00000W0TJ;0P00016BD6;FSGBR056IH;0C00001PZ3;FRA;Natixis Investment Managers Internationa;Ostrum Souverains Euro;Ostrum Souverains Euro NC;SICAV;Ostrum Souverains Euro NC;1;EUCA000589;42142;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0011505098;FR0011505098;;;;;21558168;;;;;;;D$;3;;;0;LC00000038;;;;;;;;;;;;;;;;0;GIFS$$$767;;;;;;;0;;;;56368;43281;9;;;42;$GC$EUROFI;0;0;0;;;0;Fixed Income;;EUCA000589;0;0;5;;1;42095;0;0;;;
F00000W0X1;0P00016BL3;FS0000BZ35;0C00001KTV;GBR;Artemis Fund Managers Limited;Artemis Global Equity Income Fund;Artemis Global Equity Income I Acc EUR;Open Ended Investment Company;Artemis Global Equity Income Fund I Acc EUR;1;EUCA000876;42158;Active;;1;0;;EUR;0;1;0;0;0;0;;GB00BW9HLR90;GB00BW9HLR90;;;A14TST;;28271743;PKQQA;;;;;;D$;1;;;;;;LC00002225;;;;;;;;;;;;;;0;GIFS$$$408;;;;;;;0;;;;1053865;43312;8;;;;$GC$GLEQLC;0;0;0;38;Clean (Mgmt Fee only);1;Equity;;EUCA000876;0;0;5;;;;0;1;;;
F00000W0X2;0P00016BL4;FS0000BZ35;0C00001KTV;GBR;Artemis Fund Managers Limited;Artemis Global Equity Income Fund;Artemis Global Equity Income I Inc EUR;Open Ended Investment Company;Artemis Global Equity Income Fund I Inc EUR;1;EUCA000876;42158;Active;;1;0;;EUR;1;0;0;0;0;0;;GB00BW9HLS08;GB00BW9HLS08;;;A14TSU;;28271757;PKQQB;;;;;;D$;1;;;;;;LC00002225;;;;;;;;;;;;;;0;GIFS$$$408;;;;;;;0;;;;1053865;43312;8;;;;$GC$GLEQLC;0;0;0;38;Clean (Mgmt Fee only);1;Equity;;EUCA000876;0;0;5;;;;0;1;;;
F00000W1M1;0P00016CSN;FS0000BZEO;0C00001NFF;FRA;Finaltis;Finaltis Titans;Finaltis Titans A;FCP;Finaltis Titans A;1;EUCA000563;42172;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012649689;FR0012649689;;;;;;;;;;;;D$;2;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$251;;;;;;;0;;;;1551789;43404;23;;;44;$GC$AGALOC;0;0;0;;;0;Allocation;;EUCA000563;0;0;5;;;;0;0;;;
